Municipality_ID,Location_Name_En,Location_Name_Arabic ,Latitude,Longitude,Governorate,Governorate_Ar,UN_AreaOfOperation,UN_AreaOfOperation_Ar,District,District_Ar,Google_Map_link
M604,Aabba,عبا,33.36073,35.40019,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.36073,35.40019"
M536,Aabbassiye,عباسية ,33.29851,35.28217,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.29851,35.28217"
M472,Aabra,عبرا ,33.56681,35.40574,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.56681,35.40574"
M694,Aadaisse,عديسة مرجعيون,33.25443,35.54156,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.25443,35.54156"
M612,Aadchit ech Chqif,عدشيت الشقيف,33.34820,35.42032,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.3482,35.42032"
M709,Aadchit el Qoussair,عدشيت القصير,33.27677,35.48004,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.27677,35.48004"
M952,Aadloun,عدلون,33.40539,35.27283,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.40539,35.27283"
M491,Aaddoussiye,عدّوسية,33.47144,35.34284,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.47144,35.34284"
M542,Ain Baal,عين بعل,33.23348,35.26925,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.23348,35.26925"
M478,Ain Ed Delb,عين الدلب,33.54110,35.40489,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.5411,35.40489"
M647,Ain Ebel,عين ابل,33.11155,35.40084,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.11155,35.40084"
M609,Ain Qana,عين قانا,33.47184,35.50931,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.47184,35.50931"
M676,Ain Qenya,عين قنيا,33.39882,35.70625,El Nabatieh,النبطية,South,الجنوب,Hasbaya,حاصبيا,"http://maps.google.com/maps?q=33.39882,35.70625"
M635,Aaitaroun,عيترون,33.11564,35.46783,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.11564,35.46783"
M656,Aayta ej Jabal Zott,عيتا الجبل الزط,33.17489,35.40655,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.17489,35.40655"
M563,Aalma ech Chaab,علما الشعب,33.10406,35.17993,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.10406,35.17993"
M961,Aanqoun,عنقون,33.49898,35.42768,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.49898,35.42768"
M490,Aaqtanit,عقتنيت,33.49108,35.37901,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.49108,35.37901"
M603,Arab Salim,عرب صاليم,33.42899,35.51546,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.42899,35.51546"
M494,Mazraat Arab Tobbaya,مزرعة عرب  طبَايا,33.48766,35.43915,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.48766,35.43915"
M502,Aaramta,عرمتى,33.46388,35.57558,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.46388,35.57558"
M515,Aariye,عاريه,33.57047,35.59285,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.57047,35.59285"
M503,Aaichiye,عيشية,33.40897,35.55535,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.40897,35.55535"
M639,Aainata,عيناتا بنت جبيل,33.12892,35.43855,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.12892,35.43855"
M640,Aita Ech Chaab,عيتا الشعب,33.09757,35.33451,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.09757,35.33451"
M556,Aaitit,عيتيت,33.22752,35.30558,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.22752,35.30558"
M514,Aazour,عازور,33.56007,35.53404,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.56007,35.53404"
M630,Aazze,عزه,33.45376,35.43010,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.45376,35.4301"
M978,Anane,أنان,33.56604,35.50930,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.56604,35.5093"
M596,Insar,إنصار,33.37811,35.35300,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.37811,35.353"
M623,Aarnoun,أرنون,33.33151,35.52497,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.33151,35.52497"
M471,Arzay,أرزي,33.33252,35.29796,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.33252,35.29796"
M589,Arzoun,ارزون,33.28287,35.37608,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.28287,35.37608"
M957,Babliye,بابلية,33.42130,35.34262,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.4213,35.34262"
M568,Bafliye,بافليه,33.26081,35.36602,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.26081,35.36602"
M706,Beni Haiyane,بني حيان,33.24419,35.48833,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.24419,35.48833"
M638,Braachit,برعشيت,33.17529,35.44310,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.17529,35.4431"
M554,Barich,باريش,33.27288,35.35186,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.27288,35.35186"
M571,Batouliye,باتوليه,33.22540,35.25443,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.2254,35.25443"
M541,Bazouriye,بازورية,33.25328,35.27046,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.25328,35.27046"
M579,Bedias,بدياس,33.31195,35.29921,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.31195,35.29921"
M651,Beit Lif,بيت ليف,33.13365,35.33185,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.13365,35.33185"
M660,Beit Yahnoun,بيت ياحون,33.15902,35.42021,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.15902,35.42021"
M517,Benouati,بنواتي جزين,33.57628,35.57390,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.57628,35.5739"
M634,Bent Jubail,بنت جبيل,33.12103,35.43054,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.12103,35.43054"
M486,Barti,برتي,33.52089,35.48336,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.52089,35.48336"
M632,Kfaroue,كفروة أو بفروة,33.44381,35.42577,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.44381,35.42577"
M965,Bissariyeh,بيسارية,33.44501,35.32278,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.44501,35.32278"
M586,Biyad Sour,البياض صور,33.20412,35.32727,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.20412,35.32727"
M500,Bkassine,بكاسين,33.56817,35.57873,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.56817,35.57873"
M699,Blat Marjaayoun,بلاط مرجعيون,33.38619,35.59968,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.38619,35.59968"
M692,Blida,بليدا,33.13824,35.51604,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.13824,35.51604"
M482,Bnaafoul,بنعفول,33.48206,35.42005,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.48206,35.42005"
M538,Borj ech Chmali,برج الشمالي,33.26137,35.23821,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.26137,35.23821"
M708,Borj El Mlouk,برج الملوك,33.32246,35.56220,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.32246,35.5622"
M557,Naqoura,الناقورة,33.11824,35.13900,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.11824,35.139"
M666,Borj Qalaouiye,برج قلويه,33.26055,35.41798,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.26055,35.41798"
M546,Borj Rahhal,برج رحال,33.30961,35.28157,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.30961,35.28157"
M575,Boustane Sour,بستان صور,33.09966,35.25455,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.09966,35.25455"
M493,Bqosta,بقسطا,33.57868,35.40596,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.57868,35.40596"
M626,Braiqaa,بريقع,33.34268,35.38288,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.34268,35.38288"
M480,Bramiye,برامية,33.57180,35.38893,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.5718,35.38893"
M518,Bteddine el Loqch,بتدين اللقش,33.56914,35.55556,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.56914,35.55556"
M558,Chaaitiyeh,شعيتية,33.19656,35.26460,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.19656,35.2646"
M580,Chamaa,شمع,33.14544,35.20765,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.14544,35.20765"
M636,Chaqra,شقرا ,33.19325,35.46816,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.19325,35.46816"
M619,Charqiye,شرقية,33.39993,35.41919,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.39993,35.41919"
M670,Chebaa,شبعا,33.34906,35.74869,El Nabatieh,النبطية,South,الجنوب,Hasbaya,حاصبيا,"http://maps.google.com/maps?q=33.34906,35.74869"
M537,Chehabiye,شهابية ,33.24263,35.38263,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.24263,35.38263"
M539,Chahour,شحور,33.29977,35.36958,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.29977,35.36958"
M581,Chihine,شيحين,33.12621,35.25528,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.12621,35.25528"
M677,Chouaia,شويّا ,33.39618,35.71388,El Nabatieh,النبطية,South,الجنوب,Hasbaya,حاصبيا,"http://maps.google.com/maps?q=33.39618,35.71388"
M629,Choukine,شوكين,33.35590,35.45966,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.3559,35.45966"
M470,Darb es Sim,درب السيم,33.53051,35.37991,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.53051,35.37991"
M565,Debaal,دبعل,33.25074,35.34794,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.25074,35.34794"
M654,Debl Oummiya,دبل امية,33.11974,35.36535,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.11974,35.36535"
M570,Deir Aamess,ديرعامص,33.20070,35.33522,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.2007,35.33522"
M529,Deir El Qattine,دير قطِين ,33.53066,35.53346,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.53066,35.53346"
M607,Deir ez Zahrani,دير الزهراني,33.43277,35.45841,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.43277,35.45841"
M562,Deir Kifa,دير كيفا,33.25842,35.39855,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.25842,35.39855"
M696,Deir Mimas,دير ميماس,33.30007,35.54354,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.30007,35.54354"
M652,Deir Ntar,دير نطار,33.21951,35.37393,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.21951,35.37393"
M561,Deir Qanoun,دير قانون,33.22277,35.24500,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.22277,35.245"
M543,Deir Qanoun en Nahr,دير قانون النهر,33.29974,35.31240,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.29974,35.3124"
M707,Deir Siriane,دير سريان,33.29123,35.50684,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.29123,35.50684"
M979,Dellafi,دلافة,33.43263,35.64758,El Nabatieh,النبطية,South,الجنوب,Hasbaya,حاصبيا,"http://maps.google.com/maps?q=33.43263,35.64758"
M585,Derdghaiya,دردغايا,33.28069,35.36995,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.28069,35.36995"
M591,Dhaira,ظهيرة ,33.10106,35.22590,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.10106,35.2259"
M702,Dibbine,دبين,33.37038,35.59502,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.37038,35.59502"
M599,Doueir El Nabatieh,الدوير النبطية,33.38809,35.42121,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.38809,35.42121"
M479,Arkey,اركي,33.46427,35.41359,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.46427,35.41359"
M684,Fardis,الفرديس,33.37194,35.66710,El Nabatieh,النبطية,South,الجنوب,Hasbaya,حاصبيا,"http://maps.google.com/maps?q=33.37194,35.6671"
M667,Froun,فرون,33.29678,35.42774,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.29678,35.42774"
M669,Ghandouriye Bent Jbeil,غندورية بنت جبيل,33.27204,35.43013,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.27204,35.43013"
M473,Ghassaniye,غسانية,33.41604,35.35676,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.41604,35.35676"
M950,Ghaziye,غازية,33.51748,35.36899,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.51748,35.36899"
M597,Habbouch,حبوش ,33.40723,35.48333,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.40723,35.48333"
M650,Haddatha,حداثا,33.16511,35.38785,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.16511,35.38785"
M496,Hajje,حجة,33.47733,35.38008,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.47733,35.38008"
