Municipality_ID,Location_Name_En,Location_Name_Arabic ,Latitude,Longitude,Governorate,Governorate_Ar,UN_AreaOfOperation,UN_AreaOfOperation_Ar,District,District_Ar,Google_Map_link
M525,Kfar Falous,كفرفالوس,33.54341,35.47496,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.54341,35.47496"
M681,Kfar Hamam,كفرحمام,33.34321,35.67746,El Nabatieh,النبطية,South,الجنوب,Hasbaya,حاصبيا,"http://maps.google.com/maps?q=33.34321,35.67746"
M964,Kfar Hatta,كفرحتى,33.50685,35.44883,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.50685,35.44883"
M498,Kfar Houne,كفرحون,33.49241,35.58885,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.49241,35.58885"
M528,Kfar Jarra,كفرجرا,33.54610,35.43003,South,الجنوب,South,الجنوب,Jezzine,جزين,"http://maps.google.com/maps?q=33.5461,35.43003"
M691,Kfar Kila,كفركيلا,33.27818,35.55141,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.27818,35.55141"
M963,Kfar Melki Saida,كفرملكي صيدا,33.50151,35.47911,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.50151,35.47911"
M600,Kfar Roummane,كفر رمان,33.38864,35.50153,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.38864,35.50153"
M605,Kfar Sir,كفرصير,33.32497,35.39985,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.32497,35.39985"
M602,Kfar Tebnit,كفر تبنيت,33.35371,35.51255,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.35371,35.51255"
M627,Kfar Fila,كفرفيلا,33.48189,35.49925,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.48189,35.49925"
M674,Kfair,كفير الزيت,33.43003,35.73874,El Nabatieh,النبطية,South,الجنوب,Hasbaya,حاصبيا,"http://maps.google.com/maps?q=33.43003,35.73874"
M617,Kfour El Nabatieh,الكفور النبطية,33.40029,35.45294,El Nabatieh,النبطية,South,الجنوب,El Nabatieh,النبطية,"http://maps.google.com/maps?q=33.40029,35.45294"
M680,Khalouat Hasbaya,خلوات حاصبيّا,33.41770,35.73770,El Nabatieh,النبطية,South,الجنوب,Hasbaya,حاصبيا,"http://maps.google.com/maps?q=33.4177,35.7377"
M481,Khartoum,خرطوم,33.40575,35.36997,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.40575,35.36997"
M955,Kharayeb Saida,الخرائب صيدا,33.34333,35.29855,South,الجنوب,South,الجنوب,Saida,صيدا,"http://maps.google.com/maps?q=33.34333,35.29855"
M643,Khirbit Silim,خربة سلم,33.23020,35.42459,El Nabatieh,النبطية,South,الجنوب,Bent Jbeil,بنت جبيل,"http://maps.google.com/maps?q=33.2302,35.42459"
M685,Khiam,الخيام,33.32943,35.61393,El Nabatieh,النبطية,South,الجنوب,Marjaayoun,مرجعيون,"http://maps.google.com/maps?q=33.32943,35.61393"
M590,Knisse Sour,كنيسة صور,33.20562,35.26128,South,الجنوب,South,الجنوب,Sour,صور,"http://maps.google.com/maps?q=33.20562,35.26128"
